"response_id","experienced_maori","travelled_with_child_under_15","travelled_with_other_above_15","drive_yourself","qtr","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","no_days_in_nz","age_range","treated_spend","visited_island","spend_per_day"
"GEN24_1012795","No","Yes","No","No","1","Asia","Male","No","Visiting friends / relatives",15,42,7400,"South",493.333333333333
"GEN24_1012801","No","No","No","Yes","1","Americas","Female","No","Visiting friends / relatives",44,42,5907.892607,"North",134.270286522727
"GEN24_1012806","Yes","No","Yes","No","1","Americas","Female","No","Visiting friends / relatives",26,27,4525.7164,"North",174.066015384615
"GEN24_1012809","Yes","Yes","Yes","Yes","1","Americas","Male","No","Visiting friends / relatives",18,42,4033.333333,"Both",224.074074055556
"GEN24_1012815","No","No","Yes","Yes","1","Oceania","Female","No","Visiting friends / relatives",14,62,651.6752,"North",46.5482285714286
"GEN24_1012821","No","Yes","Yes","Yes","1","Oceania","Female","No","Visiting friends / relatives",26,37,2389.475733,"North",91.9029128076923
"GEN24_1012825","Yes","No","No","Yes","1","Oceania","Female","No","Visiting friends / relatives",14,57,5256.846613,"Both",375.489043785714
"GEN24_1012826","No","Yes","Yes","Yes","1","Oceania","Female","No","Visiting friends / relatives",15,47,724.0835556,"North",48.27223704
"GEN24_1012830","No","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",18,62,5998.342933,"North",333.241274055556
"GEN24_1012833","No","No","No","Yes","1","Europe","Male","No","Visiting friends / relatives",19,52,1934.949333,"North",101.839438578947
"GEN24_1012838","No","No","Yes","No","1","Europe","Male","No","Visiting friends / relatives",18,32,1230.627776,"North",68.3682097777778
"GEN24_1012839","No","No","Yes","No","1","Europe","Female","No","Visiting friends / relatives",33,42,2902.424,"North",87.9522424242424
"GEN24_1012841","No","No","Yes","Yes","1","Oceania","Male","No","Visiting friends / relatives",22,47,2850,"South",129.545454545455
"GEN24_1012844","Yes","No","Yes","Yes","1","Europe","Male","Yes","Holiday / vacation",25,62,8350,"Both",334
"GEN24_1012851","No","Yes","No","Yes","1","Asia","Female","No","Other",218,57,3700,"North",16.9724770642202
"GEN24_1012853","No","No","No","Yes","1","Asia","Female","No","Visiting friends / relatives",39,62,1749.194197,"North",44.8511332564103
"GEN24_1012854","Yes","No","Yes","Yes","1","Asia","Male","Yes","Holiday / vacation",19,32,10132.4034,"Both",533.284389473684
"GEN24_1012862","No","Yes","Yes","Yes","1","Africa and Middle East","Female","No","Visiting friends / relatives",18,37,1920,"South",106.666666666667
